id,first,last,dob,signup,email,signupDurationSeconds,id_type,id_country,nationality,domicile,device,ad_redirect,vpn,creditScore,profit,high,pct_rank,top
1094,Quint,Gaylord,1952-04-26,2021-01-20,yahoo,600,national_id,Germany,UK,UK,android,0,0,739,17.0,0,0.31065,0
3500,Ricki,Rogahn,1969-03-31,2020-08-24,hotmail,575,national_id,Russia,France,France,android,0,0,432,53.32,0,0.7076,1
621,Gwyneth,Lehner,1956-07-09,2020-02-24,yahoo,436,drivers_licence,Russia,UK,UK,ios,0,0,421,76.78,0,0.8018,1
5311,India,Herzog,1966-04-30,2020-06-08,hotmail,473,national_id,France,Russia,France,android,1,0,675,6.56,0,0.085,0
4972,Madeline,Franecki,1971-08-25,2021-01-17,hotmail,841,passport,UK,Russia,Russia,ios,1,1,830,94.06,0,0.85,1
420,Sherri,Daniel,1959-07-21,2020-02-09,yahoo,389,drivers_licence,Germany,Germany,Russia,ios,0,0,441,59.6,0,0.741,1
2081,Arden,Walker,1983-12-25,2020-03-31,hotmail,731,national_id,France,France,France,android,0,0,413,76.31,0,0.7997,1
2383,Dianne,Grimes,1954-09-21,2020-02-16,hotmail,602,national_id,Russia,Germany,Russia,android,0,0,549,21.32,0,0.38245,0
5878,Izetta,Jacobson,1958-01-13,2020-01-14,gmail,1173,drivers_licence,Russia,France,France,android,0,0,367,5.28,0,0.05765,0
3337,Kelvin,Denesik,1979-06-16,2020-07-13,yahoo,74,passport,Russia,UK,Russia,android,0,0,714,301.79,1,0.9821,1
488,Ernie,Botsford,1976-06-10,2020-09-25,gmail,1145,national_id,Russia,Russia,France,ios,0,0,353,36.56,1,0.58,0
1611,Zed,Runolfsson,1981-01-21,2020-11-19,gmail,326,passport,UK,Russia,France,android,0,0,813,32.22,0,0.5329,0
1988,Lurana,Goodwin,1992-01-24,2020-12-13,hotmail,1175,national_id,Russia,UK,UK,android,0,0,381,59.39,0,0.7397,1
3597,Kurtis,Torp,1964-10-31,2020-07-21,hotmail,682,passport,UK,UK,UK,ios,0,1,791,94.96,1,0.8518,1
916,Merlin,Padberg,1979-10-29,2020-05-09,hotmail,576,national_id,Russia,Russia,UK,ios,1,0,479,82.29,0,0.81915,1
215,Micah,Hansen,1963-06-12,2020-08-25,gmail,345,national_id,France,Germany,UK,android,0,0,562,52.6,0,0.70355,1
1843,Mareli,Schneider,1992-04-10,2020-04-15,hotmail,115,passport,Russia,Russia,UK,ios,0,1,322,152.23,1,0.9286,1
3585,Mitchel,Beer,1989-08-31,2020-11-21,gmail,1030,drivers_licence,Russia,UK,Germany,android,0,0,425,6.49,0,0.0838,0
1011,Fisher,O'Kon,1965-03-29,2021-01-05,hotmail,1122,drivers_licence,UK,Russia,Russia,windows,0,0,627,31.83,1,0.5277,0
2779,Logan,Greenholt,1974-09-17,2020-03-04,gmail,1061,passport,France,Germany,UK,ios,1,0,442,55.08,1,0.7177,1
1072,Hermine,Bogan,1974-04-18,2020-03-03,gmail,1045,drivers_licence,France,Germany,France,ios,1,0,656,43.96,1,0.64395,1
1393,Kacie,Conroy,1983-01-23,2020-06-29,hotmail,665,drivers_licence,Germany,Germany,Germany,ios,1,0,360,34.61,1,0.5587,0
2391,Therese,Gislason,1956-11-29,2020-05-20,hotmail,582,passport,Germany,UK,Russia,ios,0,0,779,46.94,1,0.6673,1
3980,Talon,Veum,1997-07-26,2020-07-28,hotmail,465,drivers_licence,Germany,France,UK,android,0,0,552,28.06,1,0.4824,0
5529,Kirt,Langosh,1944-01-04,2021-01-13,gmail,302,national_id,UK,Germany,France,android,0,1,352,53.39,0,0.70815,1
785,Phyllis,Effertz,1974-07-09,2020-06-05,hotmail,361,passport,France,Russia,Germany,windows,0,0,449,75.48,1,0.7968,1
1158,Lulie,McCullough,1982-08-29,2020-11-02,gmail,34,passport,Germany,France,Germany,ios,0,0,458,25.94,1,0.4532,0
3148,Reginald,Wolff,1963-01-07,2021-01-15,yahoo,226,drivers_licence,Germany,France,Russia,ios,0,0,533,58.57,1,0.7354,1
837,Channing,Fritsch,1954-05-07,2020-05-18,yahoo,643,passport,Russia,Germany,Russia,android,1,0,302,24.7,1,0.4361,0
95,Johathan,Medhurst,1998-11-02,2020-12-03,gmail,893,drivers_licence,UK,UK,UK,ios,0,0,465,4.97,1,0.05155,0
2776,Angie,Lind,1999-05-26,2020-11-22,gmail,553,passport,Germany,Russia,Russia,ios,1,0,739,158.92,1,0.9331,1
4541,Vernell,Carroll,1949-02-06,2020-05-30,hotmail,547,national_id,UK,Germany,Russia,android,0,0,838,55.01,0,0.7172,1
3220,Berniece,Reilly,1980-04-09,2020-08-05,gmail,700,national_id,Russia,UK,UK,android,0,0,634,10.93,0,0.1876,0
1620,Queen,Legros,1989-06-13,2020-07-30,hotmail,654,national_id,Russia,UK,Germany,android,0,0,564,17.53,0,0.3201,0
3199,Irvine,Dooley,1980-04-03,2020-10-05,hotmail,538,passport,Russia,Germany,UK,ios,0,0,719,145.04,1,0.923,1
4744,Brandyn,Beer,1962-05-19,2020-06-25,gmail,1017,national_id,Germany,Russia,Russia,android,0,0,843,5.25,0,0.05665,0
1840,Debbie,Williamson,1955-10-06,2020-04-26,gmail,300,national_id,France,Germany,Germany,android,1,0,643,37.17,0,0.5861,0
1431,Joanie,Herzog,1993-06-03,2020-05-25,yahoo,884,passport,Germany,UK,France,ios,0,0,550,113.76,1,0.8868,1
5509,Dalton,Crist,1961-02-10,2020-10-10,gmail,756,drivers_licence,France,Russia,UK,ios,0,0,710,30.53,0,0.51305,0
2923,Shaniya,Howe,1997-03-22,2020-01-21,gmail,542,national_id,France,France,Russia,android,0,0,842,5.53,0,0.06325,0
2323,Leala,Rolfson,1957-08-16,2020-07-05,gmail,261,passport,Germany,France,UK,ios,0,0,631,122.82,1,0.9005,1
2519,Marry,Reynolds,1984-12-11,2020-10-02,gmail,1164,passport,Russia,France,Russia,ios,1,0,310,60.63,1,0.7453,1
459,Rowan,Green,1941-08-19,2020-03-22,yahoo,1145,drivers_licence,UK,Germany,France,ios,0,0,305,15.26,1,0.2752,0
999,Takisha,Hane,1988-11-25,2020-02-24,yahoo,1036,drivers_licence,France,France,Germany,ios,0,0,532,39.67,0,0.6092,1
3834,Christa,Abernathy,1960-08-25,2020-08-09,gmail,921,passport,UK,France,Russia,ios,0,0,595,150.35,1,0.9266,1
2868,Jaqueline,Dickens,1965-06-14,2020-05-02,hotmail,826,passport,Germany,France,Germany,ios,0,0,524,50.07,1,0.6888,1
2697,Callie,Schultz,1990-08-10,2020-09-11,gmail,532,drivers_licence,Russia,Russia,UK,ios,0,0,674,58.04,1,0.73305,1
2975,Katia,Harris,1943-03-21,2020-09-08,gmail,202,national_id,France,UK,UK,windows,1,0,607,7.87,0,0.11605,0
4905,Jaleesa,Schimmel,1975-03-18,2020-10-10,yahoo,661,national_id,UK,Russia,France,android,0,0,748,3.88,0,0.03195,0
145,Dewitt,Quitzon,1972-04-27,2020-06-25,hotmail,904,drivers_licence,UK,France,France,ios,0,0,419,58.36,1,0.7344,1
3526,Adele,Feest,1985-05-08,2020-02-18,gmail,1039,drivers_licence,Russia,France,UK,ios,0,0,516,56.91,1,0.72705,1
5542,Florence,Ankunding,1977-03-21,2020-02-15,yahoo,630,drivers_licence,UK,UK,UK,android,0,1,578,13.29,0,0.23675,0
4206,Brynn,Casper,1950-01-03,2020-02-13,yahoo,803,national_id,France,Russia,Russia,android,0,1,759,22.05,0,0.39465,0
1883,Elta,Turner,1955-07-02,2020-10-20,gmail,899,drivers_licence,UK,Russia,UK,ios,1,0,385,58.97,1,0.73715,1
2984,Marcelle,Shields,1967-05-06,2020-06-24,hotmail,493,national_id,France,UK,Russia,android,0,0,368,11.87,0,0.20785,0
3087,Rosario,Mitchell,1962-03-30,2020-07-10,hotmail,332,passport,Germany,Germany,Germany,ios,1,1,475,24.84,1,0.43795,0
535,Afton,Franecki,1960-11-13,2020-05-14,gmail,437,passport,Germany,France,Russia,ios,0,0,568,9.38,0,0.15315,0
1945,Oral,Denesik,1945-09-07,2020-06-03,hotmail,452,passport,France,Germany,UK,ios,0,0,770,12.81,1,0.2267,0
3413,Haven,Streich,1962-07-16,2021-01-30,gmail,119,national_id,UK,France,Russia,ios,1,0,367,45.1,0,0.65365,1
530,Clemon,Dickinson,1944-03-29,2020-05-23,hotmail,923,drivers_licence,Russia,Germany,Russia,ios,1,0,409,14.26,0,0.2562,0
3645,Lauren,O'Connell,1958-12-03,2020-04-04,gmail,1017,passport,Germany,UK,UK,ios,0,0,362,215.42,1,0.9623,1
536,Nyree,Grady,1966-10-03,2020-05-06,hotmail,1197,drivers_licence,Russia,France,France,android,1,0,581,169.57,0,0.9405,1
1272,Rashawn,Wiza,1955-11-19,2020-02-20,gmail,445,passport,UK,Germany,France,android,0,0,649,130.33,1,0.909,1
4251,Edla,Kshlerin,1993-02-03,2020-11-30,yahoo,137,drivers_licence,France,UK,Germany,windows,0,0,628,14.9,0,0.26815,0
1925,Odessa,Kuhic,1978-08-07,2020-09-30,hotmail,638,national_id,France,Germany,Russia,ios,0,0,387,8.57,0,0.1339,0
1758,Xiomara,Ortiz,1983-02-24,2020-12-22,gmail,995,drivers_licence,France,UK,France,android,0,0,753,3.49,0,0.02585,0
438,Morgan,Roberts,1978-07-06,2020-04-10,hotmail,1115,national_id,Germany,UK,UK,ios,1,0,531,7.21,0,0.0996,0
2842,Rubin,Bartoletti,1965-08-05,2020-12-16,hotmail,890,national_id,France,UK,Germany,ios,0,1,757,5.68,0,0.06715,0
2572,Romaine,Leffler,1955-11-03,2020-06-14,yahoo,90,national_id,Russia,France,Russia,android,1,0,797,37.52,0,0.589,0
2768,Alwina,King,1952-10-03,2020-11-17,yahoo,146,passport,UK,UK,Russia,android,0,0,322,19.19,1,0.34825,0
66,Victoria,Hermann,1952-07-29,2020-11-22,gmail,1175,national_id,UK,France,France,android,0,0,366,19.34,0,0.3503,0
1937,Shiela,O'Kon,1974-03-04,2020-11-11,yahoo,734,drivers_licence,Germany,Russia,Russia,android,0,0,533,15.02,0,0.2701,0
2295,Ursula,Schuster,1946-06-16,2020-04-04,gmail,498,drivers_licence,Russia,France,Germany,ios,0,0,813,3.06,0,0.02,0
1342,Clay,Parker,1999-05-19,2020-06-06,yahoo,78,drivers_licence,UK,France,Germany,ios,0,0,739,70.18,1,0.7783,1
4815,Yadiel,Miller,1944-08-11,2020-01-07,yahoo,1077,national_id,Germany,Russia,Germany,android,0,0,687,44.41,0,0.6479,1
4768,Jordan,Reinger,1943-08-04,2020-11-30,yahoo,302,passport,Russia,France,UK,ios,1,0,608,23.47,0,0.41775,0
3600,Claudia,Abbott,1965-02-26,2020-02-20,gmail,251,passport,Russia,Germany,UK,windows,1,0,804,81.42,1,0.8169,1
1559,Chelsy,Witting,1966-04-02,2020-12-14,gmail,1047,national_id,Germany,UK,Russia,android,0,0,339,152.06,0,0.9283,1
3965,Markell,Schumm,1969-08-22,2020-06-19,gmail,1027,drivers_licence,Germany,France,UK,ios,0,1,359,160.52,1,0.9342,1
2114,Offie,Beer,1993-08-16,2020-09-22,hotmail,781,national_id,France,France,Germany,ios,0,0,350,35.62,0,0.57045,0
4204,Allan,Zulauf,1964-01-24,2020-02-07,yahoo,388,national_id,France,UK,UK,android,1,0,645,8.16,0,0.12355,0
4868,Willa,O'Keefe,1970-08-13,2020-10-05,hotmail,910,national_id,France,France,UK,android,1,0,300,4.87,0,0.05005,0
111,Bunk,Runolfsdottir,1946-02-20,2020-06-08,yahoo,1016,passport,UK,UK,France,ios,0,0,450,32.98,1,0.54195,0
5690,Kiara,Boehm,1999-01-11,2020-06-01,hotmail,225,drivers_licence,France,Russia,UK,android,0,0,834,9.18,0,0.14865,0
5819,Rey,Leuschke,1946-04-03,2020-09-18,hotmail,251,national_id,Germany,Germany,Germany,ios,1,1,550,19.71,0,0.3565,0
1649,Jaclyn,Schoen,1971-10-07,2020-07-08,gmail,868,passport,UK,UK,France,ios,1,0,770,41.07,1,0.61975,1
2576,Masako,Harris,1962-04-12,2020-05-22,gmail,419,passport,Russia,Germany,Germany,ios,0,0,581,50.88,1,0.6947,1
3351,Hedwig,Block,1995-10-11,2020-12-15,gmail,1071,drivers_licence,UK,Russia,UK,android,0,1,412,50.53,1,0.69225,1
2874,Nelda,Ondricka,1965-10-20,2020-02-07,hotmail,761,drivers_licence,Germany,UK,Russia,android,0,0,459,44.32,0,0.64675,1
350,Alverda,Rolfson,1952-06-20,2021-01-02,yahoo,109,national_id,France,UK,Germany,windows,1,0,636,37.49,1,0.5889,0
2249,Alda,Lowe,1942-07-21,2020-05-26,gmail,235,passport,Germany,Russia,Russia,ios,0,0,389,134.37,1,0.9133,1
5611,Kash,Senger,1953-08-29,2020-01-16,yahoo,392,national_id,Russia,Russia,UK,android,1,0,800,54.35,0,0.7134,1
3341,Stan,Turcotte,1999-03-22,2020-06-30,yahoo,39,drivers_licence,UK,Germany,UK,android,1,0,780,21.08,0,0.37795,0
401,Nayely,Turcotte,1950-04-02,2020-07-26,yahoo,67,passport,Germany,France,Germany,ios,0,0,518,24.43,1,0.4316,0
3704,Zayden,Fritsch,1967-07-04,2020-01-26,gmail,735,drivers_licence,UK,Germany,UK,android,0,0,538,10.61,0,0.1817,0
4011,Octave,Brekke,1944-02-15,2020-05-15,yahoo,429,drivers_licence,Russia,Germany,Germany,ios,0,0,340,4.6,0,0.0452,0
2786,Fredrick,Koelpin,1996-02-28,2020-01-05,gmail,627,drivers_licence,Germany,Russia,UK,ios,0,0,546,351.03,1,0.9868,1
850,Davie,Mann,1967-05-17,2020-02-14,yahoo,608,passport,France,Russia,Russia,ios,0,0,563,27.13,1,0.4707,0
479,Jaycob,Hackett,1993-07-15,2020-01-11,hotmail,1047,passport,Germany,Russia,France,ios,0,1,717,95.1,1,0.8521,1
1496,Laverna,Cassin,1982-01-10,2020-09-18,yahoo,204,drivers_licence,UK,Russia,UK,ios,0,0,601,14.01,1,0.2512,0
5429,Arturo,Jerde,1973-05-12,2020-01-09,yahoo,170,national_id,Russia,UK,Russia,ios,0,0,746,176.22,0,0.94505,1
1853,Makai,Ruecker,1985-02-07,2020-05-09,yahoo,824,national_id,France,Russia,Germany,ios,0,0,385,43.98,1,0.64425,1
1980,Tomasa,Block,1957-12-26,2020-07-23,gmail,1117,passport,UK,France,Russia,ios,0,0,512,7.96,0,0.11815,0
2860,Bowman,Gutkowski,1981-11-27,2020-12-24,hotmail,890,passport,France,Germany,France,android,0,0,709,46.87,1,0.666,1
1229,Kari,Anderson,1943-04-13,2020-11-18,hotmail,57,passport,UK,UK,Germany,ios,0,0,457,33.51,1,0.54775,0
446,Thaddeus,Koch,1966-11-26,2020-07-07,hotmail,252,passport,France,UK,France,ios,1,0,518,401.23,1,0.9907,1
2392,Cilla,Reynolds,1989-08-28,2020-06-06,hotmail,665,passport,UK,Germany,UK,ios,1,0,679,141.21,1,0.92005,1
954,Lenard,Heller,1962-04-12,2020-06-14,hotmail,789,drivers_licence,Russia,UK,Germany,ios,0,0,806,25.34,1,0.4447,0
5811,Maud,Spinka,1974-07-08,2020-03-09,gmail,74,passport,Germany,France,Russia,ios,0,0,616,100.33,0,0.863,1
433,Parrish,Kris,1955-02-01,2020-03-29,gmail,1141,passport,France,Germany,France,ios,1,1,359,345.38,1,0.9863,1
4939,Guss,Wintheiser,1996-09-08,2021-01-06,hotmail,574,drivers_licence,France,Russia,UK,android,0,0,763,47.53,0,0.6724,1
1815,Kylee,Lueilwitz,1977-09-19,2020-10-13,yahoo,531,passport,France,Russia,Germany,ios,1,0,811,24.79,1,0.4373,0
1743,Arden,Stehr,1994-07-22,2020-06-17,yahoo,1037,national_id,UK,UK,Germany,ios,0,0,678,50.09,1,0.68895,1
4888,Nathalie,Lueilwitz,1984-08-30,2021-01-18,gmail,1122,drivers_licence,France,UK,Germany,windows,0,0,704,33.61,0,0.54905,0
4094,Waino,Rempel,1990-07-13,2020-01-03,yahoo,838,national_id,UK,France,UK,android,1,0,355,20.09,0,0.3626,0
4967,Macy,Simonis,1958-05-12,2020-11-13,gmail,1182,national_id,Germany,Russia,Russia,ios,0,0,619,12.93,0,0.2297,0
3126,Ezzard,Beer,1999-04-24,2021-01-03,hotmail,574,passport,Russia,France,Germany,ios,0,0,818,37.15,0,0.5859,0
2266,Orson,Brown,1998-01-28,2020-09-05,gmail,210,passport,Germany,Russia,UK,ios,0,0,725,75.2,1,0.7954,1
3642,Johnny,Ortiz,1995-03-27,2020-12-02,yahoo,752,national_id,Russia,UK,Germany,android,0,0,822,6.94,0,0.09395,0
3489,Jazlene,Hirthe,1950-07-11,2020-01-26,gmail,132,national_id,France,France,Russia,ios,0,0,363,38.12,0,0.5953,0
2445,Taina,Hilll,1997-05-05,2020-11-05,gmail,69,national_id,Germany,Russia,Germany,windows,0,0,756,16.57,0,0.3024,0
942,Memphis,Wintheiser,1982-09-05,2020-05-29,hotmail,787,passport,Russia,UK,Russia,android,0,1,510,21.6,1,0.38725,0
4215,Hildred,Robel,1941-07-29,2020-07-03,yahoo,601,national_id,Germany,Germany,Russia,android,1,0,350,7.89,0,0.11665,0
1275,Ferrell,Simonis,1954-01-30,2020-08-04,yahoo,119,national_id,France,UK,Russia,ios,0,0,796,30.62,0,0.5142,0
5424,Celestine,Kutch,1941-08-18,2020-08-22,hotmail,150,national_id,UK,France,Russia,android,1,0,552,8.45,0,0.13125,0
639,Garvin,VonRueden,1997-07-29,2020-06-09,hotmail,142,passport,Germany,UK,France,ios,0,0,648,7.26,1,0.10125,0
5530,Lavern,Stark,1991-09-01,2021-01-21,hotmail,350,national_id,Russia,France,France,ios,0,0,385,12.63,0,0.2225,0
1313,Freddie,Daugherty,1984-02-22,2021-01-15,yahoo,719,national_id,France,Germany,Germany,android,0,0,753,88.68,0,0.8374,1
3234,Breonna,Collier,1956-01-01,2020-05-22,gmail,1083,drivers_licence,UK,UK,Russia,ios,0,0,446,26.49,1,0.46055,0
3975,Daunte,Ebert,1962-07-02,2020-07-11,yahoo,1048,national_id,UK,Russia,France,android,1,0,374,22.12,0,0.39615,0
20,Alta,Von,1980-06-11,2020-08-23,hotmail,314,national_id,France,UK,France,windows,1,0,327,15.98,0,0.29015,0
1828,Cherrelle,Reichert,1963-01-08,2020-03-01,gmail,53,passport,UK,Russia,Germany,android,0,0,799,44.56,0,0.64905,1
2317,Anice,Tillman,1981-12-05,2020-04-29,yahoo,743,drivers_licence,UK,UK,France,android,0,0,627,42.38,0,0.63105,1
4380,Demetria,Jacobson,1983-04-19,2020-10-12,gmail,1187,drivers_licence,UK,UK,France,ios,0,0,395,122.42,0,0.9,1
3166,Icy,Ryan,1971-03-21,2020-11-01,gmail,257,national_id,Russia,Germany,France,android,0,0,639,35.59,1,0.5703,0
3522,Golden,Watsica,1942-09-19,2020-02-14,hotmail,320,national_id,France,UK,Germany,android,0,1,591,29.66,0,0.50305,0
1769,Clella,Bradtke,1975-10-28,2020-11-03,hotmail,1023,passport,France,Germany,UK,android,1,0,628,4.73,1,0.04765,0
3668,Tawanna,Cartwright,1964-12-14,2020-03-19,hotmail,1141,drivers_licence,Russia,UK,UK,windows,0,0,742,41.37,1,0.6223,1
3909,Jude,Kuhn,1959-10-19,2020-09-28,gmail,172,passport,Germany,Russia,France,ios,1,0,661,187.28,1,0.9519,1
102,Dolly,Murazik,1971-04-06,2020-08-26,gmail,360,drivers_licence,France,France,France,ios,0,0,382,80.77,1,0.8154,1
422,Austin,Heller,1949-11-01,2020-05-19,yahoo,498,national_id,UK,France,Russia,ios,0,0,589,35.04,0,0.5631,0
728,Chaya,Bogan,1991-06-13,2020-11-08,yahoo,918,drivers_licence,Russia,Germany,France,ios,1,0,382,106.85,1,0.8771,1
2804,Anabel,Hilpert,1992-04-03,2020-01-12,gmail,950,national_id,UK,Germany,Germany,android,0,0,367,24.44,0,0.43195,0
2206,Ethyl,Pfannerstill,1982-06-14,2020-12-31,yahoo,624,drivers_licence,Russia,Russia,Germany,android,1,1,531,42.71,0,0.6338,1
2407,Owen,Roob,1952-01-08,2020-09-06,yahoo,620,national_id,UK,Germany,UK,ios,0,0,391,4.73,0,0.04765,0
1462,Mckenzie,Kirlin,1986-04-23,2020-06-02,yahoo,960,passport,Germany,France,Russia,ios,0,1,508,75.49,1,0.7969,1
2511,Phil,Frami,1960-10-14,2021-01-15,yahoo,716,drivers_licence,UK,Germany,Russia,android,0,0,476,21.63,0,0.38795,0
4834,Hadley,Deckow,1969-12-09,2020-12-28,gmail,370,national_id,Russia,Germany,Russia,android,0,1,613,22.8,0,0.4072,0
178,Gloria,Konopelski,1962-05-03,2020-12-13,gmail,889,national_id,Germany,UK,France,ios,1,0,818,91.88,1,0.84495,1
2839,Tariq,Legros,1971-12-04,2020-02-12,hotmail,966,passport,Russia,Germany,Russia,ios,1,0,411,614.81,1,0.9964,1
1296,Demetric,Ferry,1996-09-08,2020-04-27,gmail,51,passport,UK,Russia,Russia,ios,1,0,449,352.94,1,0.987,1
2952,Raleigh,Muller,1995-11-03,2020-10-30,hotmail,278,passport,Germany,Germany,France,android,0,0,762,3.46,0,0.02525,0
3500,Stacy,Farrell,1963-08-23,2020-10-03,yahoo,586,passport,Russia,France,Germany,ios,1,0,448,41.87,1,0.6266,1
4242,Oren,Grant,1957-03-05,2020-06-24,hotmail,885,drivers_licence,France,France,UK,android,1,0,558,57.42,0,0.73,1
3541,Keifer,Reynolds,1946-05-08,2020-02-06,gmail,431,national_id,Russia,Germany,France,ios,0,1,825,55.42,1,0.71915,1
4012,Estrella,Botsford,1997-10-02,2020-09-04,hotmail,907,national_id,France,France,Russia,ios,0,0,450,23.32,0,0.41495,0
2808,Vinson,Kreiger,1998-01-20,2020-05-11,yahoo,106,passport,Germany,Russia,France,ios,1,0,666,15.23,1,0.27415,0
637,Burt,Schuppe,1951-09-22,2020-04-26,gmail,1101,national_id,Germany,France,France,ios,0,0,787,4.93,0,0.0508,0
2048,Tawana,Green,1998-05-06,2020-08-02,gmail,277,national_id,UK,France,France,android,0,0,715,26.43,0,0.45915,0
2128,Elda,Adams,1982-11-16,2020-08-23,yahoo,260,national_id,Germany,Russia,Germany,ios,1,0,643,132.92,1,0.9115,1
1989,Kristina,Stroman,1941-12-20,2020-07-21,hotmail,524,passport,Germany,Russia,UK,ios,0,0,401,115.11,1,0.8892,1
3101,Burton,Raynor,1949-01-11,2020-11-24,gmail,991,passport,Germany,Russia,France,windows,0,0,427,234.82,1,0.9692,1
1875,Victoriano,Buckridge,1945-09-29,2020-11-05,yahoo,146,drivers_licence,UK,France,Russia,ios,0,0,487,54.03,1,0.712,1
1830,Zena,Schaefer,1998-12-03,2020-11-29,yahoo,554,national_id,Russia,Russia,France,android,0,0,475,19.97,0,0.361,0
3954,Stone,Beatty,1980-06-05,2020-10-04,yahoo,475,national_id,Germany,Russia,Russia,ios,0,0,544,46.32,1,0.66165,1
5442,Vinie,Streich,1983-05-01,2020-05-16,gmail,271,drivers_licence,France,Russia,France,android,1,0,826,108.13,0,0.8791,1
2980,Karyme,Carter,1991-05-15,2020-06-30,gmail,352,national_id,Germany,Russia,Russia,ios,1,0,749,563.52,0,0.9955,1
3188,Knute,Brakus,1946-12-03,2020-04-14,gmail,640,national_id,Russia,Germany,France,android,0,0,699,36.53,0,0.57975,0
5927,Domenica,West,1993-02-01,2020-02-19,gmail,366,national_id,Germany,Germany,France,android,0,0,480,50.22,0,0.68995,1
